Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
classification_phase0_1T,spp_MTPS2400,0.38995,86911,33229,19152,3507,1
classification_phase0_1T,bingo_MTPS2400,0.39124,93943,25264,14181,3572,1
classification_phase0_1T,mlop_MTPS2400,0.38988,210210,33463,16948,3114,1
classification_phase0_1T,pythia_MTPS2400,0.38942,101129,30185,17637,3888,1
classification_phase0_1T,dspatch_MTPS2400,0.38472,310015,54937,15982,1937,1
classification_phase0_1T,ppf_MTPS2400,0.38749,282021,43410,16794,3567,1
classification_phase1_1T,spp_MTPS2400,0.31896,475762,345326,26027,6971,1
classification_phase1_1T,bingo_MTPS2400,0.31656,1013967,388033,25707,29877,1
classification_phase1_1T,mlop_MTPS2400,0.31584,930401,415641,25011,20719,1
classification_phase1_1T,pythia_MTPS2400,0.32083,827830,354239,25474,11787,1
classification_phase1_1T,dspatch_MTPS2400,0.31552,1536289,409672,25578,5773,1
classification_phase1_1T,ppf_MTPS2400,0.32063,1376202,349780,25458,9418,1
classification_phase2_1T,spp_MTPS2400,0.34053,254744,145934,33097,6409,1
classification_phase2_1T,bingo_MTPS2400,0.33141,634837,269510,31395,18677,1
classification_phase2_1T,mlop_MTPS2400,0.33171,654812,275855,30832,18795,1
classification_phase2_1T,pythia_MTPS2400,0.33831,487391,195400,32470,9311,1
classification_phase2_1T,dspatch_MTPS2400,0.32588,1381395,355986,32193,4218,1
classification_phase2_1T,ppf_MTPS2400,0.33833,617904,197388,32253,7751,1
classification_phase3_1T,spp_MTPS2400,0.39037,98134,38505,27491,2876,1
classification_phase3_1T,bingo_MTPS2400,0.39116,195167,53161,27327,7851,1
classification_phase3_1T,mlop_MTPS2400,0.38976,196141,46359,26811,5758,1
classification_phase3_1T,pythia_MTPS2400,0.39152,133345,40962,26481,3224,1
classification_phase3_1T,dspatch_MTPS2400,0.3853,553739,91422,22949,5519,1
classification_phase3_1T,ppf_MTPS2400,0.3886,387098,69923,25508,4778,1
classification_phase4_1T,spp_MTPS2400,0.33656,237245,138979,33540,7862,1
classification_phase4_1T,bingo_MTPS2400,0.32654,873371,293321,33460,14983,1
classification_phase4_1T,mlop_MTPS2400,0.32954,552844,255330,30771,17341,1
classification_phase4_1T,pythia_MTPS2400,0.33451,484747,198037,32804,8219,1
classification_phase4_1T,dspatch_MTPS2400,0.32492,1384626,327275,32156,4680,1
classification_phase4_1T,ppf_MTPS2400,0.33351,570010,212179,32276,6796,1
classification_phase5_1T,spp_MTPS2400,0.35158,246470,164796,20292,3420,1
classification_phase5_1T,bingo_MTPS2400,0.34273,887995,297466,19936,8996,1
classification_phase5_1T,mlop_MTPS2400,0.34499,610711,263585,19157,9233,1
classification_phase5_1T,pythia_MTPS2400,0.35036,490354,210430,19588,4796,1
classification_phase5_1T,dspatch_MTPS2400,0.33965,1373678,335812,19257,4170,1
classification_phase5_1T,ppf_MTPS2400,0.34948,741838,215964,19292,4328,1
