Trace,Exp,Core_0_IPC,Filter
classification_phase0_1T,spp_MTPS2400,0.38995,1
classification_phase0_1T,bingo_MTPS2400,0.39124,1
classification_phase0_1T,mlop_MTPS2400,0.38988,1
classification_phase0_1T,pythia_MTPS2400,0.38942,1
classification_phase0_1T,dspatch_MTPS2400,0.38472,1
classification_phase0_1T,ppf_MTPS2400,0.38749,1
classification_phase1_1T,spp_MTPS2400,0.31896,1
classification_phase1_1T,bingo_MTPS2400,0.31656,1
classification_phase1_1T,mlop_MTPS2400,0.31584,1
classification_phase1_1T,pythia_MTPS2400,0.32083,1
classification_phase1_1T,dspatch_MTPS2400,0.31552,1
classification_phase1_1T,ppf_MTPS2400,0.32063,1
classification_phase2_1T,spp_MTPS2400,0.34053,1
classification_phase2_1T,bingo_MTPS2400,0.33141,1
classification_phase2_1T,mlop_MTPS2400,0.33171,1
classification_phase2_1T,pythia_MTPS2400,0.33831,1
classification_phase2_1T,dspatch_MTPS2400,0.32588,1
classification_phase2_1T,ppf_MTPS2400,0.33833,1
classification_phase3_1T,spp_MTPS2400,0.39037,1
classification_phase3_1T,bingo_MTPS2400,0.39116,1
classification_phase3_1T,mlop_MTPS2400,0.38976,1
classification_phase3_1T,pythia_MTPS2400,0.39152,1
classification_phase3_1T,dspatch_MTPS2400,0.3853,1
classification_phase3_1T,ppf_MTPS2400,0.3886,1
classification_phase4_1T,spp_MTPS2400,0.33656,1
classification_phase4_1T,bingo_MTPS2400,0.32654,1
classification_phase4_1T,mlop_MTPS2400,0.32954,1
classification_phase4_1T,pythia_MTPS2400,0.33451,1
classification_phase4_1T,dspatch_MTPS2400,0.32492,1
classification_phase4_1T,ppf_MTPS2400,0.33351,1
classification_phase5_1T,spp_MTPS2400,0.35158,1
classification_phase5_1T,bingo_MTPS2400,0.34273,1
classification_phase5_1T,mlop_MTPS2400,0.34499,1
classification_phase5_1T,pythia_MTPS2400,0.35036,1
classification_phase5_1T,dspatch_MTPS2400,0.33965,1
classification_phase5_1T,ppf_MTPS2400,0.34948,1
