Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
cloud9_phase0_1T,spp_MTPS2400,0.12526,370822,164759,16852,2708,1
cloud9_phase0_1T,bingo_MTPS2400,0.12586,515366,59545,18157,15511,1
cloud9_phase0_1T,mlop_MTPS2400,0.12515,255265,208284,4993,20494,1
cloud9_phase0_1T,pythia_MTPS2400,0.1261,297230,59219,5430,21825,1
cloud9_phase0_1T,dspatch_MTPS2400,0.12587,581646,79450,19069,5918,1
cloud9_phase0_1T,ppf_MTPS2400,0.12605,313993,75896,5152,23353,1
cloud9_phase1_1T,spp_MTPS2400,0.14757,554563,336708,29040,87239,1
cloud9_phase1_1T,bingo_MTPS2400,0.14944,1320163,202461,33931,68583,1
cloud9_phase1_1T,mlop_MTPS2400,0.14829,861916,286026,27650,114382,1
cloud9_phase1_1T,pythia_MTPS2400,0.14874,733403,266995,25608,86757,1
cloud9_phase1_1T,dspatch_MTPS2400,0.14888,1292286,236187,30250,32900,1
cloud9_phase1_1T,ppf_MTPS2400,0.14845,667470,286565,27358,103763,1
cloud9_phase2_1T,spp_MTPS2400,0.12455,379524,173221,18028,3200,1
cloud9_phase2_1T,bingo_MTPS2400,0.12516,529998,58985,19521,16545,1
cloud9_phase2_1T,mlop_MTPS2400,0.1245,264953,214555,5785,23019,1
cloud9_phase2_1T,pythia_MTPS2400,0.12534,314026,68200,6641,23853,1
cloud9_phase2_1T,dspatch_MTPS2400,0.12515,597575,80411,20026,4950,1
cloud9_phase2_1T,ppf_MTPS2400,0.1253,321510,85901,6049,25983,1
cloud9_phase3_1T,spp_MTPS2400,0.152,978351,629467,52431,213635,1
cloud9_phase3_1T,bingo_MTPS2400,0.15558,2486484,391339,71414,170791,1
cloud9_phase3_1T,mlop_MTPS2400,0.15366,1576570,515509,55174,251341,1
cloud9_phase3_1T,pythia_MTPS2400,0.1547,1322675,467369,53596,186706,1
cloud9_phase3_1T,dspatch_MTPS2400,0.15456,2474209,444395,64983,86724,1
cloud9_phase3_1T,ppf_MTPS2400,0.15343,1197794,549622,53520,206637,1
cloud9_phase4_1T,spp_MTPS2400,0.12643,377022,171070,17799,2942,1
cloud9_phase4_1T,bingo_MTPS2400,0.12702,528166,62568,18521,19893,1
cloud9_phase4_1T,mlop_MTPS2400,0.12637,257940,211330,4565,19297,1
cloud9_phase4_1T,pythia_MTPS2400,0.12725,305439,67121,6005,20887,1
cloud9_phase4_1T,dspatch_MTPS2400,0.12705,608120,82475,21109,6122,1
cloud9_phase4_1T,ppf_MTPS2400,0.12723,308261,81820,4820,22286,1
cloud9_phase5_1T,spp_MTPS2400,0.15563,160709,99608,27840,28385,1
cloud9_phase5_1T,bingo_MTPS2400,0.15613,662853,74704,18598,27558,1
cloud9_phase5_1T,mlop_MTPS2400,0.15567,241799,100898,25956,35332,1
cloud9_phase5_1T,pythia_MTPS2400,0.15595,265234,86307,12916,32490,1
cloud9_phase5_1T,dspatch_MTPS2400,0.15577,579137,99489,25846,13939,1
cloud9_phase5_1T,ppf_MTPS2400,0.15568,237564,100872,26460,32973,1
