Trace,Exp,Core_0_IPC,Filter
cloud9_phase0_1T,spp_MTPS2400,0.12526,1
cloud9_phase0_1T,bingo_MTPS2400,0.12586,1
cloud9_phase0_1T,mlop_MTPS2400,0.12515,1
cloud9_phase0_1T,pythia_MTPS2400,0.1261,1
cloud9_phase0_1T,dspatch_MTPS2400,0.12587,1
cloud9_phase0_1T,ppf_MTPS2400,0.12605,1
cloud9_phase1_1T,spp_MTPS2400,0.14757,1
cloud9_phase1_1T,bingo_MTPS2400,0.14944,1
cloud9_phase1_1T,mlop_MTPS2400,0.14829,1
cloud9_phase1_1T,pythia_MTPS2400,0.14874,1
cloud9_phase1_1T,dspatch_MTPS2400,0.14888,1
cloud9_phase1_1T,ppf_MTPS2400,0.14845,1
cloud9_phase2_1T,spp_MTPS2400,0.12455,1
cloud9_phase2_1T,bingo_MTPS2400,0.12516,1
cloud9_phase2_1T,mlop_MTPS2400,0.1245,1
cloud9_phase2_1T,pythia_MTPS2400,0.12534,1
cloud9_phase2_1T,dspatch_MTPS2400,0.12515,1
cloud9_phase2_1T,ppf_MTPS2400,0.1253,1
cloud9_phase3_1T,spp_MTPS2400,0.152,1
cloud9_phase3_1T,bingo_MTPS2400,0.15558,1
cloud9_phase3_1T,mlop_MTPS2400,0.15366,1
cloud9_phase3_1T,pythia_MTPS2400,0.1547,1
cloud9_phase3_1T,dspatch_MTPS2400,0.15456,1
cloud9_phase3_1T,ppf_MTPS2400,0.15343,1
cloud9_phase4_1T,spp_MTPS2400,0.12643,1
cloud9_phase4_1T,bingo_MTPS2400,0.12702,1
cloud9_phase4_1T,mlop_MTPS2400,0.12637,1
cloud9_phase4_1T,pythia_MTPS2400,0.12725,1
cloud9_phase4_1T,dspatch_MTPS2400,0.12705,1
cloud9_phase4_1T,ppf_MTPS2400,0.12723,1
cloud9_phase5_1T,spp_MTPS2400,0.15563,1
cloud9_phase5_1T,bingo_MTPS2400,0.15613,1
cloud9_phase5_1T,mlop_MTPS2400,0.15567,1
cloud9_phase5_1T,pythia_MTPS2400,0.15595,1
cloud9_phase5_1T,dspatch_MTPS2400,0.15577,1
cloud9_phase5_1T,ppf_MTPS2400,0.15568,1
