Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
nutch_phase0_1T,spp_MTPS2400,0.3228,493547,97149,48834,24079,1
nutch_phase0_1T,bingo_MTPS2400,0.32346,651972,95874,46778,194785,1
nutch_phase0_1T,mlop_MTPS2400,0.32419,665849,65273,42233,88647,1
nutch_phase0_1T,pythia_MTPS2400,0.32535,639049,50637,45791,176283,1
nutch_phase0_1T,dspatch_MTPS2400,0.31929,892994,139647,44500,125494,1
nutch_phase0_1T,ppf_MTPS2400,0.3246,765231,57900,44482,168346,1
nutch_phase1_1T,spp_MTPS2400,0.33859,526611,78001,50752,26117,1
nutch_phase1_1T,bingo_MTPS2400,0.33928,779686,78970,48283,251026,1
nutch_phase1_1T,mlop_MTPS2400,0.33979,712120,55296,46480,103675,1
nutch_phase1_1T,pythia_MTPS2400,0.34084,748869,45342,47799,245925,1
nutch_phase1_1T,dspatch_MTPS2400,0.33561,882147,118962,47598,159915,1
nutch_phase1_1T,ppf_MTPS2400,0.34036,816400,46667,47400,220179,1
nutch_phase2_1T,spp_MTPS2400,0.49526,2101620,720127,231809,220615,1
nutch_phase2_1T,bingo_MTPS2400,0.54021,3292112,295373,230971,398768,1
nutch_phase2_1T,mlop_MTPS2400,0.51113,2546576,451453,230814,296270,1
nutch_phase2_1T,pythia_MTPS2400,0.5361,2503800,408204,229893,431024,1
nutch_phase2_1T,dspatch_MTPS2400,0.51982,2903206,522289,230882,411262,1
nutch_phase2_1T,ppf_MTPS2400,0.55004,2535239,289511,230139,420421,1
nutch_phase3_1T,spp_MTPS2400,0.335,469275,106736,52776,20957,1
nutch_phase3_1T,bingo_MTPS2400,0.3352,590013,116996,51004,160209,1
nutch_phase3_1T,mlop_MTPS2400,0.3368,641363,67650,44956,57900,1
nutch_phase3_1T,pythia_MTPS2400,0.33785,612116,58704,50671,157332,1
nutch_phase3_1T,dspatch_MTPS2400,0.33085,889409,157038,47663,106380,1
nutch_phase3_1T,ppf_MTPS2400,0.33727,737571,61304,49546,151106,1
nutch_phase4_1T,spp_MTPS2400,0.34152,528662,98644,56407,30927,1
nutch_phase4_1T,bingo_MTPS2400,0.34115,736126,109151,55904,219543,1
nutch_phase4_1T,mlop_MTPS2400,0.34306,729876,68163,51996,94324,1
nutch_phase4_1T,pythia_MTPS2400,0.34424,724070,56114,55064,212494,1
nutch_phase4_1T,dspatch_MTPS2400,0.33781,939128,147080,52910,149186,1
nutch_phase4_1T,ppf_MTPS2400,0.34383,815893,57766,54357,196518,1
nutch_phase5_1T,spp_MTPS2400,0.64489,194061,35189,21979,7967,1
nutch_phase5_1T,bingo_MTPS2400,0.64567,243924,36281,21245,73936,1
nutch_phase5_1T,mlop_MTPS2400,0.64762,264825,21211,20171,25724,1
nutch_phase5_1T,pythia_MTPS2400,0.6488,230137,17711,21170,51154,1
nutch_phase5_1T,dspatch_MTPS2400,0.64102,316164,49751,20827,38236,1
nutch_phase5_1T,ppf_MTPS2400,0.64786,268611,19721,20903,48374,1
