Trace,Exp,Core_0_IPC,Filter
nutch_phase0_1T,spp_MTPS2400,0.3228,1
nutch_phase0_1T,bingo_MTPS2400,0.32346,1
nutch_phase0_1T,mlop_MTPS2400,0.32419,1
nutch_phase0_1T,pythia_MTPS2400,0.32535,1
nutch_phase0_1T,dspatch_MTPS2400,0.31929,1
nutch_phase0_1T,ppf_MTPS2400,0.3246,1
nutch_phase1_1T,spp_MTPS2400,0.33859,1
nutch_phase1_1T,bingo_MTPS2400,0.33928,1
nutch_phase1_1T,mlop_MTPS2400,0.33979,1
nutch_phase1_1T,pythia_MTPS2400,0.34084,1
nutch_phase1_1T,dspatch_MTPS2400,0.33561,1
nutch_phase1_1T,ppf_MTPS2400,0.34036,1
nutch_phase2_1T,spp_MTPS2400,0.49526,1
nutch_phase2_1T,bingo_MTPS2400,0.54021,1
nutch_phase2_1T,mlop_MTPS2400,0.51113,1
nutch_phase2_1T,pythia_MTPS2400,0.5361,1
nutch_phase2_1T,dspatch_MTPS2400,0.51982,1
nutch_phase2_1T,ppf_MTPS2400,0.55004,1
nutch_phase3_1T,spp_MTPS2400,0.335,1
nutch_phase3_1T,bingo_MTPS2400,0.3352,1
nutch_phase3_1T,mlop_MTPS2400,0.3368,1
nutch_phase3_1T,pythia_MTPS2400,0.33785,1
nutch_phase3_1T,dspatch_MTPS2400,0.33085,1
nutch_phase3_1T,ppf_MTPS2400,0.33727,1
nutch_phase4_1T,spp_MTPS2400,0.34152,1
nutch_phase4_1T,bingo_MTPS2400,0.34115,1
nutch_phase4_1T,mlop_MTPS2400,0.34306,1
nutch_phase4_1T,pythia_MTPS2400,0.34424,1
nutch_phase4_1T,dspatch_MTPS2400,0.33781,1
nutch_phase4_1T,ppf_MTPS2400,0.34383,1
nutch_phase5_1T,spp_MTPS2400,0.64489,1
nutch_phase5_1T,bingo_MTPS2400,0.64567,1
nutch_phase5_1T,mlop_MTPS2400,0.64762,1
nutch_phase5_1T,pythia_MTPS2400,0.6488,1
nutch_phase5_1T,dspatch_MTPS2400,0.64102,1
nutch_phase5_1T,ppf_MTPS2400,0.64786,1
