Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
streaming_phase0_1T,spp_MTPS2400,0.20778,942298,363278,153326,60622,1
streaming_phase0_1T,bingo_MTPS2400,0.2099,1024692,189387,143668,74152,1
streaming_phase0_1T,mlop_MTPS2400,0.20905,1342884,233119,154029,76990,1
streaming_phase0_1T,pythia_MTPS2400,0.20962,1051107,251381,133967,46866,1
streaming_phase0_1T,dspatch_MTPS2400,0.20739,1726856,292681,172476,45664,1
streaming_phase0_1T,ppf_MTPS2400,0.21012,1283174,138974,150457,40060,1
streaming_phase1_1T,spp_MTPS2400,0.23124,775091,264573,142449,48590,1
streaming_phase1_1T,bingo_MTPS2400,0.23351,776201,122951,125957,46610,1
streaming_phase1_1T,mlop_MTPS2400,0.23305,1235317,116009,150177,59101,1
streaming_phase1_1T,pythia_MTPS2400,0.2331,695708,106283,116506,25910,1
streaming_phase1_1T,dspatch_MTPS2400,0.2304,1257087,212677,164072,18440,1
streaming_phase1_1T,ppf_MTPS2400,0.23288,938120,101863,141799,20561,1
streaming_phase2_1T,spp_MTPS2400,0.22655,784345,278288,148218,57011,1
streaming_phase2_1T,bingo_MTPS2400,0.2286,798433,140335,133544,54326,1
streaming_phase2_1T,mlop_MTPS2400,0.2283,1300776,127897,154780,68649,1
streaming_phase2_1T,pythia_MTPS2400,0.22822,715892,122494,125909,30950,1
streaming_phase2_1T,dspatch_MTPS2400,0.22557,1317830,227549,174613,17547,1
streaming_phase2_1T,ppf_MTPS2400,0.22799,971144,116634,149066,21944,1
streaming_phase3_1T,spp_MTPS2400,0.21216,879824,343590,178135,72956,1
streaming_phase3_1T,bingo_MTPS2400,0.21418,935352,182061,169514,77418,1
streaming_phase3_1T,mlop_MTPS2400,0.21372,1664393,174634,192926,96867,1
streaming_phase3_1T,pythia_MTPS2400,0.21358,829276,172930,157024,46427,1
streaming_phase3_1T,dspatch_MTPS2400,0.21076,1604813,301038,218885,24388,1
streaming_phase3_1T,ppf_MTPS2400,0.21341,1159219,156204,188340,34038,1
streaming_phase4_1T,spp_MTPS2400,0.21387,722080,263195,166123,65924,1
streaming_phase4_1T,bingo_MTPS2400,0.21593,746407,113165,159468,63674,1
streaming_phase4_1T,mlop_MTPS2400,0.21512,1160573,115029,180322,75780,1
streaming_phase4_1T,pythia_MTPS2400,0.21516,663597,105923,150215,35124,1
streaming_phase4_1T,dspatch_MTPS2400,0.21229,1239152,220789,194236,17076,1
streaming_phase4_1T,ppf_MTPS2400,0.21468,908762,96113,174651,23074,1
streaming_phase5_1T,spp_MTPS2400,0.21067,946782,316937,206938,80490,1
streaming_phase5_1T,bingo_MTPS2400,0.21304,1006173,150553,192673,80730,1
streaming_phase5_1T,mlop_MTPS2400,0.21222,1433250,160373,213522,97255,1
streaming_phase5_1T,pythia_MTPS2400,0.21212,951670,176227,185886,56127,1
streaming_phase5_1T,dspatch_MTPS2400,0.20989,1510945,275714,223687,37223,1
streaming_phase5_1T,ppf_MTPS2400,0.21238,1173602,115452,205784,43774,1
