Trace,Exp,Core_0_IPC,Filter
streaming_phase0_1T,spp_MTPS2400,0.20778,1
streaming_phase0_1T,bingo_MTPS2400,0.2099,1
streaming_phase0_1T,mlop_MTPS2400,0.20905,1
streaming_phase0_1T,pythia_MTPS2400,0.20962,1
streaming_phase0_1T,dspatch_MTPS2400,0.20739,1
streaming_phase0_1T,ppf_MTPS2400,0.21012,1
streaming_phase1_1T,spp_MTPS2400,0.23124,1
streaming_phase1_1T,bingo_MTPS2400,0.23351,1
streaming_phase1_1T,mlop_MTPS2400,0.23305,1
streaming_phase1_1T,pythia_MTPS2400,0.2331,1
streaming_phase1_1T,dspatch_MTPS2400,0.2304,1
streaming_phase1_1T,ppf_MTPS2400,0.23288,1
streaming_phase2_1T,spp_MTPS2400,0.22655,1
streaming_phase2_1T,bingo_MTPS2400,0.2286,1
streaming_phase2_1T,mlop_MTPS2400,0.2283,1
streaming_phase2_1T,pythia_MTPS2400,0.22822,1
streaming_phase2_1T,dspatch_MTPS2400,0.22557,1
streaming_phase2_1T,ppf_MTPS2400,0.22799,1
streaming_phase3_1T,spp_MTPS2400,0.21216,1
streaming_phase3_1T,bingo_MTPS2400,0.21418,1
streaming_phase3_1T,mlop_MTPS2400,0.21372,1
streaming_phase3_1T,pythia_MTPS2400,0.21358,1
streaming_phase3_1T,dspatch_MTPS2400,0.21076,1
streaming_phase3_1T,ppf_MTPS2400,0.21341,1
streaming_phase4_1T,spp_MTPS2400,0.21387,1
streaming_phase4_1T,bingo_MTPS2400,0.21593,1
streaming_phase4_1T,mlop_MTPS2400,0.21512,1
streaming_phase4_1T,pythia_MTPS2400,0.21516,1
streaming_phase4_1T,dspatch_MTPS2400,0.21229,1
streaming_phase4_1T,ppf_MTPS2400,0.21468,1
streaming_phase5_1T,spp_MTPS2400,0.21067,1
streaming_phase5_1T,bingo_MTPS2400,0.21304,1
streaming_phase5_1T,mlop_MTPS2400,0.21222,1
streaming_phase5_1T,pythia_MTPS2400,0.21212,1
streaming_phase5_1T,dspatch_MTPS2400,0.20989,1
streaming_phase5_1T,ppf_MTPS2400,0.21238,1
