Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
602.gcc_s-1850B_4T,spp,0.272367,0.272422,0.272178,0.272231,1200,269,1,0,0
602.gcc_s-1850B_4T,bingo,0.177835,0.177744,0.177804,0.177864,1140,1139,1,0,0
602.gcc_s-1850B_4T,mlop,0.222734,0.223242,0.222512,0.222963,1415,559,0,0,0
602.gcc_s-1850B_4T,pythia,0.284625,0.284473,0.284591,0.284382,1252,223,1,0,0
602.gcc_s-1850B_4T,ppf,0,0,0,0,0,0,0,0,0
602.gcc_s-1850B_4T,dspatch,0.178571,0.178479,0.17854,0.178601,1142,1131,1,0,0
602.gcc_s-2226B_4T,spp,0.260442,0.261126,0.259051,0.260161,3588,160,0,0,0
602.gcc_s-2226B_4T,bingo,0.0959924,0.0950547,0.0906492,0.0954268,3557,3216,0,0,0
602.gcc_s-2226B_4T,mlop,0.250125,0.251566,0.249579,0.25077,3825,502,0,0,0
602.gcc_s-2226B_4T,pythia,0.283264,0.280904,0.280225,0.281483,3611,95,0,0,0
602.gcc_s-2226B_4T,ppf,0,0,0,0,0,0,0,0,0
602.gcc_s-2226B_4T,dspatch,0.136655,0.135906,0.143826,0.135553,3632,1875,0,0,0
602.gcc_s-734B_4T,spp,0.395728,0.395178,0.395173,0.395734,883,81,0,0,0
602.gcc_s-734B_4T,bingo,0.287732,0.287898,0.287981,0.287815,831,831,0,0,0
602.gcc_s-734B_4T,mlop,0.334044,0.334972,0.335543,0.334502,869,517,0,0,0
602.gcc_s-734B_4T,pythia,0.407015,0.40734,0.407506,0.407174,884,59,0,0,0
602.gcc_s-734B_4T,ppf,0,0,0,0,0,0,0,0,0
602.gcc_s-734B_4T,dspatch,0.287732,0.287898,0.287981,0.287815,831,831,0,0,0
605.mcf_s-1536B_4T,spp,0.188507,0.188627,0.188545,0.188592,1754,1607,147,0,0
605.mcf_s-1536B_4T,bingo,0.189689,0.189628,0.189581,0.189665,2136,1594,42,0,0
605.mcf_s-1536B_4T,mlop,0.188507,0.188627,0.188545,0.188592,1754,1607,147,0,0
605.mcf_s-1536B_4T,pythia,0.191554,0.191471,0.191522,0.191599,3185,1602,147,0,0
605.mcf_s-1536B_4T,ppf,0,0,0,0,0,0,0,0,0
605.mcf_s-1536B_4T,dspatch,0.194066,0.194041,0.194107,0.194157,2937,1602,135,0,0
605.mcf_s-1554B_4T,spp,0.161032,0.162997,0.160489,0.161697,8516,5870,0,0,0
605.mcf_s-1554B_4T,bingo,0.153371,0.152823,0.156019,0.145077,9914,3450,0,0,0
605.mcf_s-1554B_4T,mlop,0.16971,0.16821,0.17248,0.166397,10688,1721,0,0,0
605.mcf_s-1554B_4T,pythia,0.13062,0.132109,0.13218,0.129401,12219,4039,0,0,0
605.mcf_s-1554B_4T,ppf,0,0,0,0,0,0,0,0,0
