Trace,Exp,Core_0_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Filter
cassandra_phase0_1T,spp_MTPS2400,0.36929,1458671,545473,92190,45561,1
cassandra_phase0_1T,bingo_MTPS2400,0.36501,1487194,525574,88164,110966,1
cassandra_phase0_1T,mlop_MTPS2400,0.37112,4675777,539278,93351,85579,1
cassandra_phase0_1T,pythia_MTPS2400,0.38011,1443924,382323,72062,159637,1
cassandra_phase0_1T,dspatch_MTPS2400,0.36407,2605528,632829,96813,132426,1
cassandra_phase0_1T,ppf_MTPS2400,0.37983,2037693,400345,83360,164540,1
cassandra_phase1_1T,spp_MTPS2400,0.33324,1496139,577261,87165,39313,1
cassandra_phase1_1T,bingo_MTPS2400,0.33302,1501369,552688,85951,97509,1
cassandra_phase1_1T,mlop_MTPS2400,0.33403,4842961,576757,85837,71681,1
cassandra_phase1_1T,pythia_MTPS2400,0.34083,1521932,434632,77725,155255,1
cassandra_phase1_1T,dspatch_MTPS2400,0.32611,2961422,706475,94681,127282,1
cassandra_phase1_1T,ppf_MTPS2400,0.34046,2237068,446213,83752,157432,1
cassandra_phase2_1T,spp_MTPS2400,0.32371,1327943,533566,88276,47216,1
cassandra_phase2_1T,bingo_MTPS2400,0.3248,1483562,492844,87510,119014,1
cassandra_phase2_1T,mlop_MTPS2400,0.32435,4357458,529071,84465,81242,1
cassandra_phase2_1T,pythia_MTPS2400,0.33053,1424686,420060,74003,173176,1
cassandra_phase2_1T,dspatch_MTPS2400,0.32104,2580029,599806,87987,136323,1
cassandra_phase2_1T,ppf_MTPS2400,0.33146,1991369,396661,81276,170362,1
cassandra_phase3_1T,spp_MTPS2400,0.33775,1395579,521015,90112,37573,1
cassandra_phase3_1T,bingo_MTPS2400,0.33738,1562147,489895,86708,108395,1
cassandra_phase3_1T,mlop_MTPS2400,0.34058,3879922,483152,87524,67540,1
cassandra_phase3_1T,pythia_MTPS2400,0.34618,1531285,387317,79351,168434,1
cassandra_phase3_1T,dspatch_MTPS2400,0.33238,2659968,611986,95826,126804,1
cassandra_phase3_1T,ppf_MTPS2400,0.3477,2025630,369369,84496,167562,1
cassandra_phase4_1T,spp_MTPS2400,0.28612,1340987,537649,144512,80644,1
cassandra_phase4_1T,bingo_MTPS2400,0.29003,1655264,472225,144940,135453,1
cassandra_phase4_1T,mlop_MTPS2400,0.28845,3871105,499327,139838,103670,1
cassandra_phase4_1T,pythia_MTPS2400,0.29179,1517333,405707,135426,195538,1
cassandra_phase4_1T,dspatch_MTPS2400,0.28358,2858386,616276,146138,157801,1
cassandra_phase4_1T,ppf_MTPS2400,0.29279,2016641,388765,138768,193515,1
cassandra_phase5_1T,spp_MTPS2400,0.38586,1372960,526898,70744,41169,1
cassandra_phase5_1T,bingo_MTPS2400,0.38257,1456594,495386,67556,116499,1
cassandra_phase5_1T,mlop_MTPS2400,0.38649,4453568,529043,68089,71610,1
cassandra_phase5_1T,pythia_MTPS2400,0.39735,1364412,367779,58166,160797,1
cassandra_phase5_1T,dspatch_MTPS2400,0.38273,2468698,588188,70549,131968,1
cassandra_phase5_1T,ppf_MTPS2400,0.39721,1906401,382739,65195,161132,1
